"state","fdid","fd_name","year","type","total","structure","mobile","mh","veg","rubbish","special","crop","other","not_fire"
"CA","38005","SAN FRANCISCO FD","2005","Other","5175","2245","366","7","140","592","42","5","125","1653"
"CA","38005","SAN FRANCISCO FD","2006","Other","5213","2304","247","5","112","629","27","1","130","1758"
"CA","38005","SAN FRANCISCO FD","2007","Other","5518","2584","338","7","128","653","56","3","3","1746"
"CA","38005","SAN FRANCISCO FD","2008","Other","5223","2216","294","7","120","644","64","7","0","1871"
"CA","38005","SAN FRANCISCO FD","2009","Other","4990","2163","272","15","113","730","79","3","3","1612"
"CA","38005","SAN FRANCISCO FD","2010","Other","5079","2322","266","6","95","667","49","6","0","1668"
"CA","38005","SAN FRANCISCO FD","2011","Other","5068","2211","259","3","86","825","54","3","2","1625"
"CA","38005","SAN FRANCISCO FD","2012","Other","2435","837","124","2","56","504","24","2","1","885"
"CA","38005","SAN FRANCISCO FD","2013","Other","5124","1997","194","6","125","997","89","5","4","1707"
"CA","38005","SAN FRANCISCO FD","2014","Other","2971","960","128","11","75","694","62","5","127","909"
"CA","38005","SAN FRANCISCO FD","2015","Other","4944","1254","268","30","126","1314","124","2","311","1515"
"CA","38005","SAN FRANCISCO FD","2016","Other","4157","1207","181","5","120","1079","105","2","172","1286"
"CA","38005","SAN FRANCISCO FD","2017","Other","30971","1394","230","11","125","1253","100","1","250","27607"
"CA","38005","SAN FRANCISCO FD","2018","Battery","2","0","0","0","0","0","0","0","2","0"
"CA","38005","SAN FRANCISCO FD","2018","Other","31295","1279","196","11","86","1239","97","3","292","28092"
"CA","38005","SAN FRANCISCO FD","2019","Battery","1","0","0","0","0","0","0","0","1","0"
"CA","38005","SAN FRANCISCO FD","2019","Other","32251","1264","189","8","162","1344","90","0","267","28927"
"CA","38005","SAN FRANCISCO FD","2020","Battery","1","1","0","0","0","0","0","0","0","0"
"CA","38005","SAN FRANCISCO FD","2020","Other","22283","1031","166","11","122","1612","145","0","169","19027"
"CA","38005","SAN FRANCISCO FD","2021","Battery","1","1","0","0","0","0","0","0","0","0"
"CA","38005","SAN FRANCISCO FD","2021","Other","29334","1239","237","17","166","2244","223","2","172","25034"
"CA","38005","SAN FRANCISCO FD","2022","Battery","3","1","0","0","0","1","0","0","1","0"
"CA","38005","SAN FRANCISCO FD","2022","Other","34016","1518","249","14","167","3334","393","1","153","28187"
"CA","38005","SAN FRANCISCO FD","2023","Other","36926","1599","274","18","103","3761","321","2","172","30676"
"CO","00180","NORTH METRO FRD","2003","Other","7133","138","52","1","27","31","9","1","19","6855"
"CO","00180","NORTH METRO FRD","2004","Other","599","111","48","6","29","21","10","1","22","351"
"CO","00180","NORTH METRO FRD","2005","Other","668","150","50","5","73","38","9","0","12","331"
"CO","00180","NORTH METRO FRD","2006","Other","658","175","39","5","51","57","9","1","9","312"
"CO","00180","NORTH METRO FRD","2007","Battery","1","0","1","0","0","0","0","0","0","0"
"CO","00180","NORTH METRO FRD","2007","Other","570","143","36","4","44","36","6","0","13","288"
"CO","00180","NORTH METRO FRD","2008","Other","573","129","29","2","67","39","16","1","11","279"
"CO","00180","NORTH METRO FRD","2009","Other","519","107","38","1","47","31","10","1","9","275"
"CO","00180","NORTH METRO FRD","2010","Other","504","111","37","1","59","34","9","0","7","246"
"CO","00180","NORTH METRO FRD","2011","Other","486","107","33","0","57","28","7","0","11","243"
"CO","00180","NORTH METRO FRD","2012","Other","528","125","42","2","58","37","14","0","13","237"
"CO","00180","NORTH METRO FRD","2013","Battery","1","0","1","0","0","0","0","0","0","0"
"CO","00180","NORTH METRO FRD","2013","Other","488","121","46","3","29","25","11","1","0","252"
"CO","00180","NORTH METRO FRD","2014","Other","442","119","29","0","29","28","7","1","0","229"
"CO","00180","NORTH METRO FRD","2015","Other","484","102","31","2","34","31","8","0","0","276"
"CO","00180","NORTH METRO FRD","2016","Battery","1","0","1","0","0","0","0","0","0","0"
"CO","00180","NORTH METRO FRD","2016","Other","520","140","41","1","50","34","5","0","0","249"
"CO","00180","NORTH METRO FRD","2017","Battery","1","1","0","0","0","0","0","0","0","0"
"CO","00180","NORTH METRO FRD","2017","Other","11721","101","22","1","44","12","2","0","2","11537"
"CO","00180","NORTH METRO FRD","2018","Other","12454","152","29","0","47","18","6","2","0","12200"
"CO","00180","NORTH METRO FRD","2019","Other","12925","112","40","1","34","19","9","1","0","12709"
"CO","00180","NORTH METRO FRD","2020","Battery","2","2","0","0","0","0","0","0","0","0"
"CO","00180","NORTH METRO FRD","2020","Other","12246","117","41","2","74","35","15","0","4","11958"
"CO","00180","NORTH METRO FRD","2021","Battery","2","1","1","0","0","0","0","0","0","0"
"CO","00180","NORTH METRO FRD","2021","Other","13531","91","35","2","39","50","5","0","1","13308"
"CO","00180","NORTH METRO FRD","2022","Battery","1","0","1","0","0","0","0","0","0","0"
"CO","00180","NORTH METRO FRD","2022","Other","16677","128","58","3","74","47","10","2","6","16349"
"CO","00180","NORTH METRO FRD","2023","Battery","2","1","1","0","0","0","0","0","0","0"
"CO","00180","NORTH METRO FRD","2023","Other","17348","102","42","5","41","47","9","1","9","17092"
"CO","00520","SOUTH METRO FIRE RESCUE AUTHOR","2002","Other","8275","67","66","0","43","32","8","12","2","8045"
"CO","00520","SOUTH METRO FIRE RESCUE AUTHOR","2003","Other","8573","46","47","0","30","19","1","1","12","8417"
"CO","00520","SOUTH METRO FIRE RESCUE AUTHOR","2004","Other","893","44","43","0","21","19","1","1","5","759"
"CO","00520","SOUTH METRO FIRE RESCUE AUTHOR","2005","Other","910","49","41","1","32","18","5","0","5","759"
"CO","00520","SOUTH METRO FIRE RESCUE AUTHOR","2006","Battery","1","0","1","0","0","0","0","0","0","0"
"CO","00520","SOUTH METRO FIRE RESCUE AUTHOR","2006","Other","942","59","39","2","57","18","12","0","28","727"
"CO","00520","SOUTH METRO FIRE RESCUE AUTHOR","2007","Other","901","51","34","0","37","15","8","0","25","731"
"CO","00520","SOUTH METRO FIRE RESCUE AUTHOR","2008","Other","758","61","37","0","58","26","33","0","0","543"
"CO","00520","SOUTH METRO FIRE RESCUE AUTHOR","2009","Other","1351","148","57","2","50","28","12","0","0","1054"
"CO","00520","SOUTH METRO FIRE RESCUE AUTHOR","2010","Other","1266","144","43","1","125","26","6","2","0","919"
"CO","00520","SOUTH METRO FIRE RESCUE AUTHOR","2011","Other","1171","161","45","1","82","36","23","0","0","823"
"CO","00520","SOUTH METRO FIRE RESCUE AUTHOR","2012","Other","785","164","59","2","63","23","13","0","0","461"
"CO","00520","SOUTH METRO FIRE RESCUE AUTHOR","2013","Other","776","147","62","0","50","25","24","0","0","468"
"CO","00520","SOUTH METRO FIRE RESCUE AUTHOR","2014","Other","736","164","53","0","38","17","12","0","0","452"
